True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Fail Rate (%),Geom Mean MSE Ratio,5th Percentile,95th Percentile
4,96,AIC,0.0,9.26,N/A,0.0,1.6298733924034046,0.6874475780038606,5.548714858256995
4,96,AICc,0.0,1.0,N/A,0.0,1.119501053446943,0.2754605587261296,4.633234960537951
4,96,SIC (BIC),0.0,1.34,N/A,0.0,1.005642143757834,0.21522419514516739,4.633234960537951
4,96,HQC,0.0,1.84,N/A,0.0,0.9011166820112287,0.19939645186698848,4.674151015157438
4,96,OLS BMA (BIC-W),N/A,4.18,N/A,0.0,1.1472687700709847,0.37414154206420847,3.8944286839009945
4,96,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,233.3461716113033,98.18614440778263,640.085551292279
4,96,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,5.528535195607423,2.059893629000777,13.097893523456548
4,96,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,2.2488357845962166,0.6036099334632129,7.233032470013085
4,96,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,2.3564138269234687,0.8716427911407746,7.148044015613673
4,96,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.34,N/A,0.0,1.326568765112028,0.45268437220696706,4.994470841203092
4,96,"Hybrid-BMA (OLS W, Fix tau)",N/A,4.18,N/A,0.0,1.176140236284389,0.2978803251205093,4.149016764093443
4,96,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.66,1.4417,0.0,1.2192181972206972,0.28637358464258067,6.191348432169869
4,96,"SOTA-BMA (MDD W, Opt tau)",N/A,1.66,1.4417,0.0,1.139559057260837,0.3010953495781602,4.907970897766715
4,144,AIC,12.0,2.64,N/A,0.0,1.1219384807627133,0.2510762283086617,4.799709234329981
4,144,AICc,0.0,1.0,N/A,0.0,1.2848299816502449,0.2805797735405336,4.612628423503589
4,144,SIC (BIC),0.0,1.42,N/A,0.0,1.2070088575594815,0.2820497349382961,4.832198008307258
4,144,HQC,0.0,1.98,N/A,0.0,1.1573130779852108,0.25835380255426704,4.799709234329981
4,144,OLS BMA (BIC-W),N/A,4.45,N/A,0.0,1.0594239289032694,0.248291246297298,4.16353061408074
4,144,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,66.26052186431718,30.507692344255357,231.60356071171591
4,144,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,2.3438865412440983,0.7163876053384646,9.783486758255155
4,144,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.4172257215938957,0.3530259346145656,5.883569490736502
4,144,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.442726237521268,0.4881684669986342,7.026451659937204
4,144,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.42,N/A,0.0,1.2131082539660594,0.23634678049557098,5.008413523133019
4,144,"Hybrid-BMA (OLS W, Fix tau)",N/A,4.45,N/A,0.0,1.236280101653306,0.30154168555969585,6.733024032239282
4,144,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.56,1.6303,0.0,0.9744259473740702,0.16926557770018308,7.647025447236285
4,144,"SOTA-BMA (MDD W, Opt tau)",N/A,1.59,1.6303,0.0,0.8681706882305275,0.09485359712470105,5.564877849926089
4,240,AIC,30.0,3.14,N/A,0.0,0.9566545086478392,0.25937436468201125,3.6093571394834236
4,240,AICc,0.0,1.0,N/A,0.0,1.0289935214067598,0.20812569004276307,6.786926759487102
4,240,SIC (BIC),0.0,1.94,N/A,0.0,0.9562022659857107,0.16752376014985898,9.149418861823126
4,240,HQC,2.0,2.08,N/A,0.0,0.9112811650716733,0.1484033024008212,7.544401209246957
4,240,OLS BMA (BIC-W),N/A,5.03,N/A,0.0,1.0580101574458864,0.29612518763017986,5.7136780231198045
4,240,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,26.293381426137415,9.233868285076955,104.06224451459686
4,240,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,1.4528645008505279,0.3409202292529277,6.742825479136926
4,240,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.0969397765461673,0.1916190254256324,6.1387684222439525
4,240,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.4230379776595545,0.39309522054624324,6.540796624917971
4,240,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.94,N/A,0.0,1.2235688078125275,0.32904639339944586,7.911603471016903
4,240,"Hybrid-BMA (OLS W, Fix tau)",N/A,5.03,N/A,0.0,1.5224795898713865,0.3686823384335123,11.344060192928898
4,240,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.94,1.9254,0.0,0.9775494383966014,0.13162784486813167,5.5038603609046195
4,240,"SOTA-BMA (MDD W, Opt tau)",N/A,1.96,1.9254,0.0,1.0126502565246418,0.2289987431109714,6.696180288127732
4,480,AIC,54.0,3.56,N/A,0.0,1.0197655279067317,0.2273590939725053,6.7080825659917425
4,480,AICc,0.0,1.0,N/A,0.0,1.1887511952789847,0.2131351545815812,8.723284390694559
4,480,SIC (BIC),0.0,2.0,N/A,0.0,1.060538655230681,0.18453551867288484,8.384349660028324
4,480,HQC,2.0,2.3,N/A,0.0,1.0490624406051772,0.14643754636271777,8.489640461064877
4,480,OLS BMA (BIC-W),N/A,5.67,N/A,0.0,0.817929408048461,0.15372140258224276,5.986967132456907
4,480,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,7.155925159242446,2.252054690856066,51.17739423244173
4,480,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,1.1290596183060966,0.21189611863590702,8.446718060486813
4,480,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.0325797026735295,0.1640159662161738,3.575330883880755
4,480,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.2034753363550683,0.22289117203792913,10.021966010231479
4,480,"Hybrid-BVAR (OLS p, Fix tau)",0.0,2.0,N/A,0.0,1.144517092698429,0.20618632905957535,8.230207728246153
4,480,"Hybrid-BMA (OLS W, Fix tau)",N/A,5.67,N/A,0.0,1.3155761353707014,0.20675903027430012,6.978739673975795
4,480,"SOTA-BVAR (MDD p, Opt tau)",0.0,2.04,1.9739,0.0,0.8578895628892526,0.13118942663386654,9.728559563428465
4,480,"SOTA-BMA (MDD W, Opt tau)",N/A,2.06,1.9739,0.0,1.1392986423232752,0.16023219388531604,6.153710032015121
6,96,AIC,0.0,10.72,N/A,0.0,1.284227703266891,0.4786995983556092,5.771862194071587
6,96,AICc,0.0,1.0,N/A,0.0,1.0286345279807265,0.25752915272011095,5.754431661947931
6,96,SIC (BIC),0.0,1.22,N/A,0.0,1.052324158608726,0.28570970617619734,5.754431661947931
6,96,HQC,0.0,1.96,N/A,0.0,0.9968533397181216,0.2683009957652265,3.3840918743140853
6,96,OLS BMA (BIC-W),N/A,4.2,N/A,0.0,0.7714066959370453,0.19181013284152423,2.8296328481038766
6,96,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,186.4244429203451,57.71870207981149,748.3244148354108
6,96,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,4.081390200323219,1.4503756618673407,14.084290890945658
6,96,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.689849092794001,0.5750960282587753,6.293608014960537
6,96,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.7656671866294256,0.4655708799693047,8.002642242714499
6,96,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.22,N/A,0.0,1.079900638791105,0.1739813711014553,6.357246829438045
6,96,"Hybrid-BMA (OLS W, Fix tau)",N/A,4.2,N/A,0.0,1.0614791729148203,0.27340099932591205,4.7976569345848885
